IRIS_global_seisnet,-6.5302,129.9386,183.2,3.7,2007-11-05 14:39:11,,-6.30000019073486,130
IRIS_global_seisnet,-6.1526,129.9869,145.8,5.1,2007-08-24 10:16:52,,-6.30000019073486,130
IRIS_global_seisnet,-6.5518,130.0471,177.3,,2007-08-22 20:15:40,,-6.30000019073486,130
IRIS_global_seisnet,-6.4607,130.056,147,3.4,2007-07-08 06:43:28,,-6.30000019073486,130
IRIS_global_seisnet,-6.3789,130.1541,88.4,4.7,2007-05-22 18:36:30,,-6.30000019073486,130
IRIS_global_seisnet,-6.2139,129.9214,35,3.8,2007-03-27 12:45:35,,-6.30000019073486,130
IRIS_global_seisnet,-6.242,129.923,15,3.4,2007-03-11 06:44:20,,-6.30000019073486,130
IRIS_global_seisnet,-6.41,130.2449,147.3,5.4,2007-03-09 10:38:07,,-6.30000019073486,130
IRIS_global_seisnet,-6.5519,130.0706,83.3,4.1,2006-12-28 18:55:26,,-6.30000019073486,130
IRIS_global_seisnet,-6.3433,130.0688,35,4.2,2006-10-24 03:25:46,,-6.30000019073486,130
IRIS_global_seisnet,-6.195,130.042,35,4.4,2006-10-02 04:57:47,,-6.30000019073486,130
IRIS_global_seisnet,-6.4848,130.1194,76.3,4.2,2006-09-30 16:03:24,,-6.30000019073486,130
IRIS_global_seisnet,-6.2414,129.9067,114.8,4,2006-09-19 00:00:38,,-6.30000019073486,130
IRIS_global_seisnet,-6.1917,130.0446,154.5,4.6,2006-09-10 01:54:19,,-6.30000019073486,130
IRIS_global_seisnet,-6.1351,129.9147,85.2,3.5,2006-08-31 23:16:51,,-6.30000019073486,130
IRIS_global_seisnet,-6.3482,130.2035,121.4,4.6,2006-08-28 08:24:15,,-6.30000019073486,130
IRIS_global_seisnet,-6.4235,130.0231,154.3,5.2,2006-08-25 20:16:28,,-6.30000019073486,130
IRIS_global_seisnet,-6.3206,130.0039,35,3.9,2006-07-05 19:45:34,,-6.30000019073486,130
IRIS_global_seisnet,-6.132,130.205,35,,2006-04-09 00:38:55,,-6.30000019073486,130
IRIS_global_seisnet,-6.2532,130.114,35,3.5,2006-03-12 18:44:57,,-6.30000019073486,130
IRIS_global_seisnet,-6.3108,130.0498,193.8,3.9,2006-02-10 07:46:26,,-6.30000019073486,130
IRIS_global_seisnet,-6.4849,130.1439,156.4,4.1,2006-02-03 22:50:49,,-6.30000019073486,130
IRIS_global_seisnet,-6.3182,130.0364,144.5,4.4,2005-12-26 01:04:17,,-6.30000019073486,130
